               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12247,             0.32923,                   0,                   0,                   0,                   0,                   0,             0.11589,             0.41043,                   0,              0.0006,              0.0006,              0.0946
                   1,             0.11902,             0.32599,                   0,            0.019351,              0.1746,            0.011078,           0.0017383,             0.11504,             0.52904,                   0,           0.0012936,           0.0012936,            0.088294
                   2,             0.11409,             0.25551,                   0,                0.03,             0.28571,            0.020281,               0.004,             0.10698,             0.71623,                   0,           0.0019802,           0.0019802,             0.08198
                   3,             0.10623,             0.24215,                   0,            0.090708,             0.79365,             0.10234,            0.024632,             0.10005,             0.94772,                   0,           0.0026599,           0.0026599,             0.07566
                   4,            0.097782,              0.2535,                   0,             0.11629,             0.30189,            0.085543,            0.013098,             0.11048,             0.54863,                   0,           0.0033327,           0.0033327,            0.069333
                   5,            0.096798,             0.30372,                   0,             0.20304,             0.67772,             0.17207,             0.03949,             0.10536,             0.34449,                   0,           0.0039985,           0.0039985,            0.062999
                   6,            0.095841,             0.24111,                   0,             0.31421,             0.98435,              0.7922,             0.20064,            0.096456,             0.60131,                   0,           0.0046574,           0.0046574,            0.056657
                   7,            0.095709,             0.28882,                   0,             0.27084,             0.88707,              0.5973,            0.095387,             0.10793,              1.2652,                   0,           0.0053094,           0.0053094,            0.050309
                   8,             0.10759,             0.23872,                   0,              0.1056,             0.38113,            0.069042,            0.012678,             0.10638,             0.32555,                   0,           0.0059545,           0.0059545,            0.043954
                   9,             0.10251,             0.25548,                   0,             0.28485,             0.93894,             0.39774,             0.15503,             0.11216,             0.75747,                   0,           0.0065926,           0.0065926,            0.037593
                  10,             0.09707,             0.27239,                   0,             0.12938,             0.45114,            0.092081,            0.037186,             0.10458,              1.3982,                   0,           0.0072238,           0.0072238,            0.031224
                  11,            0.089558,             0.31124,                   0,             0.24158,             0.88328,             0.34763,             0.12716,             0.10173,             0.91859,                   0,           0.0078481,           0.0078481,            0.024848
                  12,             0.10225,             0.32198,                   0,            0.045618,             0.15115,            0.023385,           0.0056159,             0.12115,             0.96401,                   0,           0.0084654,           0.0084654,            0.018465
                  13,             0.11075,             0.39118,                   0,              0.3326,             0.98431,             0.85482,             0.32423,             0.13039,             0.97612,                   0,           0.0090758,           0.0090758,            0.012076
                  14,             0.10168,             0.29702,                   0,             0.27359,              0.9821,             0.83927,             0.48917,             0.10561,              3.3911,                   0,            0.009307,            0.009307,            0.009307
                  15,            0.092985,             0.35965,                   0,          0.00040907,           0.0013605,          0.00016753,          1.6753e-05,             0.12595,              1.9682,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.095448,             0.31411,                   0,             0.30919,             0.99687,             0.90348,             0.26285,            0.098649,             0.73859,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.095258,              0.2882,                   0,             0.29556,                   1,             0.96191,             0.38898,             0.10852,              2.3088,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.08709,             0.29296,                   0,             0.22437,              0.7477,              0.1969,            0.046534,             0.10326,              1.4336,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.083588,             0.25652,                   0,             0.20986,             0.68592,             0.20056,            0.033454,             0.10005,              1.3807,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.085039,             0.24436,                   0,             0.27501,             0.88626,             0.62472,             0.21067,             0.10384,             0.62239,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.086138,             0.26681,                   0,             0.24785,             0.86119,             0.34222,            0.053005,             0.10393,              1.8959,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.079569,             0.29444,                   0,             0.24013,             0.83562,             0.57852,            0.092215,             0.10308,              1.6028,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.073197,             0.30909,                   0,             0.27645,             0.94795,             0.30679,            0.071332,            0.093501,              1.2542,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.076516,             0.26066,                   0,             0.28679,             0.99409,             0.61317,             0.16938,            0.093127,             0.99917,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.077538,             0.25253,                   0,             0.53512,             0.98198,             0.95694,             0.23525,            0.075399,             0.55755,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.068392,             0.21602,                   0,             0.31282,              0.9958,             0.59697,             0.20029,            0.076716,             0.72013,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.067491,             0.24864,                   0,             0.27998,             0.99939,             0.88791,             0.31819,            0.076921,             0.81679,                   0,            0.008713,            0.008713,            0.008713
                  28,               0.071,             0.23518,                   0,             0.45094,                   1,             0.80974,              0.3409,            0.083316,              0.5923,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.063618,             0.22809,                   0,             0.33236,                   1,             0.88783,             0.32177,            0.076387,             0.56272,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.065192,               0.231,                   0,             0.43317,                   1,             0.96242,             0.35898,            0.072558,             0.56558,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.06543,             0.24067,                   0,             0.35319,             0.99942,             0.77503,             0.31058,            0.074621,             0.61879,                   0,            0.008515,            0.008515,            0.008515
                  32,             0.06687,             0.22732,                   0,             0.46463,              0.9878,             0.71558,             0.39633,            0.074712,             0.42913,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.068716,             0.24625,                   0,             0.76297,             0.99768,             0.98976,             0.45768,            0.075722,             0.40084,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.064226,             0.20807,                   0,             0.70171,             0.97153,              0.9438,             0.40454,            0.068023,             0.34213,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.057948,             0.20639,                   0,             0.39557,             0.96287,             0.57788,             0.33269,            0.062162,             0.37824,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.062054,             0.22085,                   0,             0.75298,             0.99593,             0.96978,              0.6044,            0.069601,             0.37526,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.062719,             0.21305,                   0,              0.7768,             0.96979,             0.96481,             0.29295,            0.062478,             0.34106,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.061619,             0.22865,                   0,             0.89161,             0.98954,             0.98999,             0.63156,            0.060137,                0.34,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056709,             0.20506,                   0,             0.97736,             0.95314,              0.9874,             0.62131,            0.056553,             0.29784,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.059546,             0.22517,                   0,             0.86409,             0.97443,              0.9519,             0.38747,            0.059775,             0.32087,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.061672,             0.20822,                   0,             0.48207,             0.97511,             0.77898,             0.37568,            0.061556,             0.29727,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.058041,              0.2315,                   0,             0.99634,             0.99942,               0.995,             0.49504,            0.047604,             0.27585,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.055759,             0.21022,                   0,             0.98041,             0.98257,             0.99281,             0.60577,            0.051914,             0.26323,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.059267,             0.21783,                   0,              0.7909,               0.957,             0.93906,             0.40523,             0.06011,             0.28969,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.060416,             0.20374,                   0,             0.99965,                   1,               0.995,             0.61022,            0.049638,             0.25181,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053343,             0.19155,                   0,             0.99762,                   1,               0.995,             0.52423,            0.054265,              0.2727,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.054982,             0.20108,                   0,             0.95007,             0.98605,             0.99165,             0.53633,            0.046038,             0.25419,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.050344,             0.20111,                   0,             0.86461,             0.99768,             0.97363,             0.47381,            0.049703,             0.26286,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.055127,             0.19727,                   0,             0.81611,             0.99768,             0.98257,             0.49542,            0.051525,             0.26073,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.050908,             0.19038,                   0,             0.57846,             0.99651,             0.70576,             0.42433,            0.049773,             0.26476,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.053931,             0.19779,                   0,              0.9996,                   1,               0.995,             0.67801,            0.048212,             0.25494,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.055263,             0.18661,                   0,             0.99928,                   1,               0.995,             0.49461,            0.053597,              0.2756,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.055367,             0.20304,                   0,             0.99986,             0.99942,               0.995,             0.71636,            0.043914,             0.24343,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.050411,             0.20589,                   0,                   1,             0.99553,               0.995,             0.70554,            0.045221,             0.25821,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.049898,             0.19109,                   0,             0.99417,             0.99942,               0.995,             0.57999,            0.040891,              0.2407,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.049203,             0.19557,                   0,              0.9994,                   1,               0.995,             0.70851,            0.045162,             0.26005,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.051346,             0.19607,                   0,             0.99778,             0.99884,               0.995,             0.60595,            0.047797,             0.25757,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.053027,             0.20675,                   0,             0.98564,             0.99725,             0.99356,             0.65247,            0.046095,             0.26221,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.048224,             0.18442,                   0,             0.99982,                   1,               0.995,             0.68375,            0.043944,             0.24531,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.054126,               0.202,                   0,             0.99677,             0.99826,              0.9936,             0.38607,            0.056739,             0.28103,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.056411,             0.17771,                   0,              0.9989,                   1,               0.995,             0.75092,            0.041213,             0.23104,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.050178,             0.21066,                   0,             0.99986,                   1,               0.995,             0.73148,            0.040911,             0.23392,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.043585,             0.19586,                   0,             0.99988,                   1,               0.995,             0.63059,            0.041908,              0.2361,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.051282,             0.20097,                   0,             0.99985,                   1,               0.995,              0.5785,            0.048736,             0.25028,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.055132,             0.20019,                   0,             0.99938,                   1,               0.995,             0.53419,            0.049662,             0.25021,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.054599,             0.18988,                   0,             0.99989,                   1,               0.995,             0.59264,            0.048509,             0.25192,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.046053,             0.20966,                   0,              0.9999,                   1,               0.995,             0.77501,             0.03691,             0.22595,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.045004,             0.16588,                   0,              0.9999,                   1,               0.995,             0.77123,            0.040556,             0.22971,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.050082,             0.18468,                   0,             0.99983,                   1,               0.995,             0.54232,            0.053746,             0.26759,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.059632,              0.2042,                   0,             0.99969,                   1,               0.995,             0.58266,             0.04753,             0.24317,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.048147,             0.18709,                   0,             0.99992,                   1,               0.995,             0.74015,            0.038468,              0.2247,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.045576,             0.19837,                   0,             0.99978,                   1,               0.995,             0.71782,             0.03973,             0.22999,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.048755,             0.17768,                   0,             0.81104,             0.99709,             0.97248,               0.559,             0.04642,             0.24896,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.045377,             0.19269,                   0,             0.99925,                   1,             0.99499,             0.68224,            0.040038,             0.23048,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.041393,             0.18659,                   0,             0.99988,                   1,               0.995,             0.77141,            0.036954,              0.2168,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.041013,             0.17596,                   0,             0.99988,                   1,               0.995,             0.78811,            0.037656,             0.21678,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.041006,             0.18491,                   0,             0.99924,                   1,               0.995,             0.74149,            0.041836,             0.23114,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.045199,             0.16405,                   0,             0.99992,                   1,               0.995,              0.7563,            0.039819,             0.22678,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.04238,             0.17668,                   0,             0.99984,                   1,               0.995,             0.68994,            0.038945,             0.22234,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.043903,             0.19188,                   0,             0.99876,                   1,               0.995,             0.75042,            0.039061,             0.21669,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.043704,             0.16948,                   0,             0.99985,                   1,               0.995,             0.72894,            0.043892,             0.24214,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.042354,             0.18253,                   0,              0.9999,                   1,               0.995,             0.79427,            0.037354,             0.21503,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.044355,             0.17959,                   0,             0.99991,                   1,               0.995,             0.77339,            0.036996,             0.21625,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.044068,             0.17639,                   0,              0.9999,                   1,               0.995,             0.64693,             0.04173,             0.24005,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.045809,             0.19802,                   0,              0.9999,                   1,               0.995,             0.64118,            0.044559,             0.23842,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.045431,              0.1703,                   0,             0.99988,                   1,               0.995,             0.65606,            0.043328,             0.23734,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.040761,             0.16595,                   0,              0.9999,                   1,               0.995,             0.76189,            0.035786,             0.21115,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.038927,             0.15846,                   0,             0.99991,                   1,               0.995,             0.76871,            0.037842,             0.21611,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.039879,             0.16362,                   0,              0.9999,                   1,               0.995,             0.76769,            0.035852,             0.20993,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.037249,             0.16243,                   0,             0.99989,                   1,               0.995,             0.75759,            0.038785,             0.22324,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.040373,             0.17842,                   0,             0.99991,                   1,               0.995,             0.75735,            0.037392,             0.21681,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.045485,             0.16655,                   0,             0.99989,                   1,               0.995,             0.73717,            0.042429,             0.23311,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.047555,             0.20709,                   0,             0.99996,             0.99826,               0.995,             0.74889,            0.039456,             0.22032,                   0,            0.005446,            0.005446,            0.005446
                  94,             0.04442,               0.182,                   0,             0.99991,                   1,               0.995,             0.74609,            0.038787,             0.23037,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.041362,             0.17985,                   0,             0.99991,                   1,               0.995,             0.76791,            0.039518,             0.22123,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.043117,             0.16615,                   0,             0.99992,                   1,               0.995,             0.75138,            0.037502,             0.21887,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,             0.04243,             0.17766,                   0,             0.99989,                   1,               0.995,             0.64311,            0.042085,             0.23269,                   0,            0.005248,            0.005248,            0.005248
                  98,             0.04204,             0.18781,                   0,              0.9999,                   1,               0.995,             0.73296,            0.038952,             0.22204,                   0,           0.0051985,           0.0051985,           0.0051985
